page_id,source_pdf,provider,repeat,latency_s,char_count,cer,wer,error
handwritten_assignment_p001,handwritten_assignment.pdf,cascade,2,1.9590,506,0.0198,0.1286,
handwritten_assignment_p002,handwritten_assignment.pdf,cascade,2,2.1536,492,0.0567,0.2464,
handwritten_assignment_p003,handwritten_assignment.pdf,cascade,2,1.6730,413,0.0597,0.2787,
handwritten_assignment_p004,handwritten_assignment.pdf,cascade,2,1.6118,390,0.0282,0.1774,
handwritten_assignment_p005,handwritten_assignment.pdf,cascade,2,4.1414,461,0.0304,0.1972,
handwritten_assignment_p006,handwritten_assignment.pdf,cascade,2,2.2971,395,0.0824,0.3036,
handwritten_assignment_p007,handwritten_assignment.pdf,cascade,2,1.7840,486,0.0246,0.1571,
handwritten_assignment_p008,handwritten_assignment.pdf,cascade,2,1.5175,215,0.0376,0.2188,
minaz_p001,minaz.pdf,cascade,2,2.5236,821,0.1025,0.3333,
minaz_p002,minaz.pdf,cascade,2,2.9419,862,0.0906,0.2750,
minaz_p003,minaz.pdf,cascade,2,2.7355,966,0.1481,0.5038,
minaz_p004,minaz.pdf,cascade,2,2.4428,705,0.0432,0.2037,
minaz_p005,minaz.pdf,cascade,2,2.5467,702,0.0466,0.1827,
minaz_p006,minaz.pdf,cascade,2,3.8957,202,0.0890,0.2903,
satya_p001,satya.pdf,cascade,2,2.9030,1248,0.2163,0.4333,
satya_p002,satya.pdf,cascade,2,2.7042,939,0.1253,0.3796,
satya_p003,satya.pdf,cascade,2,2.1916,710,0.0509,0.1101,
saksham_p001,saksham.pdf,cascade,2,2.3394,969,0.0573,0.1871,
saksham_p002,saksham.pdf,cascade,2,2.4916,999,0.0633,0.2606,
saksham_p003,saksham.pdf,cascade,2,2.3724,1079,0.1371,0.4412,
saksham_p004,saksham.pdf,cascade,2,2.2575,851,0.0462,0.1654,
saksham_p005,saksham.pdf,cascade,2,1.9360,694,0.0429,0.2364,
zeeya_p001,zeeya.pdf,cascade,2,3.5090,1015,0.1018,0.4662,
zeeya_p002,zeeya.pdf,cascade,2,2.8330,1010,0.0854,0.2653,
zeeya_p003,zeeya.pdf,cascade,2,2.7190,976,0.1765,0.5000,
zeeya_p004,zeeya.pdf,cascade,2,2.9853,952,0.0558,0.2431,
zeeya_p005,zeeya.pdf,cascade,2,2.5643,796,0.0716,0.2188,
