page_id,source_pdf,provider,repeat,latency_s,char_count,cer,wer,error
handwritten_assignment_p001,handwritten_assignment.pdf,tesseract,2,1.0366,368,0.8099,1.8286,
handwritten_assignment_p002,handwritten_assignment.pdf,tesseract,2,0.8941,172,0.8508,1.0000,
handwritten_assignment_p003,handwritten_assignment.pdf,tesseract,2,0.9385,347,0.7264,1.1639,
handwritten_assignment_p004,handwritten_assignment.pdf,tesseract,2,1.0463,221,0.8128,1.2742,
handwritten_assignment_p005,handwritten_assignment.pdf,tesseract,2,0.9901,297,0.8065,1.4366,
handwritten_assignment_p006,handwritten_assignment.pdf,tesseract,2,0.8003,189,0.8298,1.1786,
handwritten_assignment_p007,handwritten_assignment.pdf,tesseract,2,0.9490,235,0.8172,1.1571,
handwritten_assignment_p008,handwritten_assignment.pdf,tesseract,2,0.8571,228,0.7324,1.2188,
minaz_p001,minaz.pdf,tesseract,2,11.1171,6981,8.0575,17.4957,
minaz_p002,minaz.pdf,tesseract,2,14.9826,10072,11.5716,23.0500,
minaz_p003,minaz.pdf,tesseract,2,18.9445,13123,14.6592,24.9549,
minaz_p004,minaz.pdf,tesseract,2,12.4545,8947,12.1022,22.4352,
minaz_p005,minaz.pdf,tesseract,2,12.7044,8503,11.6201,20.3077,
minaz_p006,minaz.pdf,tesseract,2,24.2862,16559,85.7330,128.3226,
satya_p001,satya.pdf,tesseract,2,2.9001,1664,1.0839,2.8833,
satya_p002,satya.pdf,tesseract,2,3.9352,2323,2.2927,5.6204,
satya_p003,satya.pdf,tesseract,2,1.6457,642,0.8195,1.8532,
saksham_p001,saksham.pdf,tesseract,2,2.2906,1272,1.0573,3.0144,
saksham_p002,saksham.pdf,tesseract,2,2.3500,1117,0.9337,2.5352,
saksham_p003,saksham.pdf,tesseract,2,2.1800,1095,0.8861,1.9706,
saksham_p004,saksham.pdf,tesseract,2,2.1070,1027,0.9929,2.5489,
saksham_p005,saksham.pdf,tesseract,2,0.8307,176,0.8469,0.9909,
zeeya_p001,zeeya.pdf,tesseract,2,8.2400,5232,4.6257,9.8514,
zeeya_p002,zeeya.pdf,tesseract,2,18.8993,10217,9.7002,18.5578,
zeeya_p003,zeeya.pdf,tesseract,2,12.4650,8773,9.4291,16.2846,
zeeya_p004,zeeya.pdf,tesseract,2,21.0460,13938,13.9032,23.7778,
zeeya_p005,zeeya.pdf,tesseract,2,7.6497,3768,4.1696,7.8984,
