page_id,source_pdf,provider,repeat,latency_s,char_count,cer,wer,error
handwritten_assignment_p001,handwritten_assignment.pdf,vision,2,2.0041,456,0.1446,0.1857,
handwritten_assignment_p002,handwritten_assignment.pdf,vision,2,1.9775,407,0.1702,0.2464,
handwritten_assignment_p003,handwritten_assignment.pdf,vision,2,1.4560,401,0.0498,0.1803,
handwritten_assignment_p004,handwritten_assignment.pdf,vision,2,1.9402,322,0.2615,0.3387,
handwritten_assignment_p005,handwritten_assignment.pdf,vision,2,1.5854,369,0.2500,0.3944,
handwritten_assignment_p006,handwritten_assignment.pdf,vision,2,1.5548,302,0.2207,0.3571,
handwritten_assignment_p007,handwritten_assignment.pdf,vision,2,1.5039,427,0.1499,0.2571,
handwritten_assignment_p008,handwritten_assignment.pdf,vision,2,1.4067,211,0.0469,0.3125,
minaz_p001,minaz.pdf,vision,2,5.0198,638,0.4100,0.6239,
minaz_p002,minaz.pdf,vision,2,4.1785,693,0.3439,0.6333,
minaz_p003,minaz.pdf,vision,2,6.1914,689,0.4653,0.6992,
minaz_p004,minaz.pdf,vision,2,3.6790,574,0.2993,0.4722,
minaz_p005,minaz.pdf,vision,2,3.6359,579,0.3217,0.5000,
minaz_p006,minaz.pdf,vision,2,3.7449,193,0.2042,0.4839,
satya_p001,satya.pdf,vision,2,2.2308,1063,0.4375,0.7556,
satya_p002,satya.pdf,vision,2,2.5770,796,0.3044,0.6058,
satya_p003,satya.pdf,vision,2,1.6645,607,0.3100,0.5229,
saksham_p001,saksham.pdf,vision,2,2.1325,991,0.3569,0.7266,
saksham_p002,saksham.pdf,vision,2,2.3160,868,0.2867,0.5704,
saksham_p003,saksham.pdf,vision,2,1.6014,1115,0.3745,0.8162,
saksham_p004,saksham.pdf,vision,2,2.5893,937,0.4379,0.8722,
saksham_p005,saksham.pdf,vision,2,1.4732,705,0.1216,0.4273,
zeeya_p001,zeeya.pdf,vision,2,2.8198,807,0.2725,0.5541,
zeeya_p002,zeeya.pdf,vision,2,2.8044,982,0.1982,0.5238,
zeeya_p003,zeeya.pdf,vision,2,3.3041,728,0.5110,0.7923,
zeeya_p004,zeeya.pdf,vision,2,3.0672,811,0.2326,0.4792,
zeeya_p005,zeeya.pdf,vision,2,2.3343,814,0.1972,0.5703,
