page_id,source_pdf,provider,repeat,latency_s,char_count,cer,wer,error
handwritten_assignment_p001,handwritten_assignment.pdf,mistral,2,1.8668,506,0.0198,0.1286,
handwritten_assignment_p002,handwritten_assignment.pdf,mistral,2,1.7663,492,0.0567,0.2464,
handwritten_assignment_p003,handwritten_assignment.pdf,mistral,2,1.5483,413,0.0597,0.2787,
handwritten_assignment_p004,handwritten_assignment.pdf,mistral,2,1.6787,390,0.0282,0.1774,
handwritten_assignment_p005,handwritten_assignment.pdf,mistral,2,1.7681,461,0.0304,0.1972,
handwritten_assignment_p006,handwritten_assignment.pdf,mistral,2,2.2584,395,0.0824,0.3036,
handwritten_assignment_p007,handwritten_assignment.pdf,mistral,2,1.6792,486,0.0246,0.1571,
handwritten_assignment_p008,handwritten_assignment.pdf,mistral,2,1.4479,215,0.0376,0.2188,
minaz_p001,minaz.pdf,mistral,2,3.2364,821,0.1025,0.3333,
minaz_p002,minaz.pdf,mistral,2,3.1846,863,0.0918,0.2750,
minaz_p003,minaz.pdf,mistral,2,5.0148,966,0.1481,0.5038,
minaz_p004,minaz.pdf,mistral,2,3.0759,705,0.0432,0.2037,
minaz_p005,minaz.pdf,mistral,2,2.9155,702,0.0466,0.1827,
minaz_p006,minaz.pdf,mistral,2,2.4235,202,0.0890,0.2903,
satya_p001,satya.pdf,mistral,2,3.0051,1248,0.2163,0.4333,
satya_p002,satya.pdf,mistral,2,2.9329,939,0.1253,0.3796,
satya_p003,satya.pdf,mistral,2,2.6591,710,0.0509,0.1101,
saksham_p001,saksham.pdf,mistral,2,3.0306,969,0.0573,0.1871,
saksham_p002,saksham.pdf,mistral,2,2.6804,999,0.0633,0.2606,
saksham_p003,saksham.pdf,mistral,2,2.4895,1079,0.1371,0.4412,
saksham_p004,saksham.pdf,mistral,2,2.3392,851,0.0462,0.1654,
saksham_p005,saksham.pdf,mistral,2,2.2033,694,0.0429,0.2364,
zeeya_p001,zeeya.pdf,mistral,2,3.3755,1015,0.1018,0.4662,
zeeya_p002,zeeya.pdf,mistral,2,3.5156,1010,0.0854,0.2653,
zeeya_p003,zeeya.pdf,mistral,2,3.2759,976,0.1765,0.5000,
zeeya_p004,zeeya.pdf,mistral,2,3.4232,954,0.0579,0.2639,
zeeya_p005,zeeya.pdf,mistral,2,2.9987,796,0.0716,0.2188,
