page_id,source_pdf,provider,repeat,latency_s,char_count,cer,wer,error
handwritten_assignment_p001,handwritten_assignment.pdf,tesseract,2,1.0604,368,,,
handwritten_assignment_p002,handwritten_assignment.pdf,tesseract,2,0.8960,172,,,
handwritten_assignment_p003,handwritten_assignment.pdf,tesseract,2,0.8948,347,,,
handwritten_assignment_p004,handwritten_assignment.pdf,tesseract,2,0.8862,221,,,
handwritten_assignment_p005,handwritten_assignment.pdf,tesseract,2,0.9790,297,,,
handwritten_assignment_p006,handwritten_assignment.pdf,tesseract,2,0.7782,189,,,
handwritten_assignment_p007,handwritten_assignment.pdf,tesseract,2,0.8790,235,,,
handwritten_assignment_p008,handwritten_assignment.pdf,tesseract,2,0.8989,228,,,
minaz_p001,minaz.pdf,tesseract,2,9.1881,6981,,,
minaz_p002,minaz.pdf,tesseract,2,13.7720,10072,,,
minaz_p003,minaz.pdf,tesseract,2,17.8574,13123,,,
minaz_p004,minaz.pdf,tesseract,2,12.1973,8947,,,
minaz_p005,minaz.pdf,tesseract,2,12.3494,8503,,,
minaz_p006,minaz.pdf,tesseract,2,24.1637,16559,,,
satya_p001,satya.pdf,tesseract,2,2.8718,1664,,,
satya_p002,satya.pdf,tesseract,2,3.6615,2323,,,
satya_p003,satya.pdf,tesseract,2,1.5480,642,,,
saksham_p001,saksham.pdf,tesseract,2,2.2342,1272,,,
saksham_p002,saksham.pdf,tesseract,2,2.1965,1117,,,
saksham_p003,saksham.pdf,tesseract,2,2.1584,1095,,,
saksham_p004,saksham.pdf,tesseract,2,2.0122,1027,,,
saksham_p005,saksham.pdf,tesseract,2,0.7415,176,,,
zeeya_p001,zeeya.pdf,tesseract,2,7.7329,5232,,,
zeeya_p002,zeeya.pdf,tesseract,2,17.6718,10217,,,
zeeya_p003,zeeya.pdf,tesseract,2,12.3369,8773,,,
zeeya_p004,zeeya.pdf,tesseract,2,21.5271,13938,,,
zeeya_p005,zeeya.pdf,tesseract,2,6.9472,3768,,,
